"","id","age","tolerance","male","exposure","time","group","participant","y"
"1",9,11,2.23,0,1.54,0,1,9,2.23
"2",9,12,1.79,0,1.54,1,1,9,1.79
"3",9,13,1.9,0,1.54,2,1,9,1.9
"4",9,14,2.12,0,1.54,3,1,9,2.12
"5",9,15,2.66,0,1.54,4,1,9,2.66
"6",45,11,1.12,1,1.16,0,1,45,1.12
"7",45,12,1.45,1,1.16,1,1,45,1.45
"8",45,13,1.45,1,1.16,2,1,45,1.45
"9",45,14,1.45,1,1.16,3,1,45,1.45
"10",45,15,1.99,1,1.16,4,1,45,1.99
"11",268,11,1.45,1,0.9,0,0,268,1.45
"12",268,12,1.34,1,0.9,1,0,268,1.34
"13",268,13,1.99,1,0.9,2,0,268,1.99
"14",268,14,1.79,1,0.9,3,0,268,1.79
"15",268,15,1.34,1,0.9,4,0,268,1.34
"16",314,11,1.22,0,0.81,0,0,314,1.22
"17",314,12,1.22,0,0.81,1,0,314,1.22
"18",314,13,1.55,0,0.81,2,0,314,1.55
"19",314,14,1.12,0,0.81,3,0,314,1.12
"20",314,15,1.12,0,0.81,4,0,314,1.12
"21",442,11,1.45,0,1.13,0,0,442,1.45
"22",442,12,1.99,0,1.13,1,0,442,1.99
"23",442,13,1.45,0,1.13,2,0,442,1.45
"24",442,14,1.67,0,1.13,3,0,442,1.67
"25",442,15,1.9,0,1.13,4,0,442,1.9
"26",514,11,1.34,1,0.9,0,0,514,1.34
"27",514,12,1.67,1,0.9,1,0,514,1.67
"28",514,13,2.23,1,0.9,2,0,514,2.23
"29",514,14,2.12,1,0.9,3,0,514,2.12
"30",514,15,2.44,1,0.9,4,0,514,2.44
"31",569,11,1.79,0,1.99,0,1,569,1.79
"32",569,12,1.9,0,1.99,1,1,569,1.9
"33",569,13,1.9,0,1.99,2,1,569,1.9
"34",569,14,1.99,0,1.99,3,1,569,1.99
"35",569,15,1.99,0,1.99,4,1,569,1.99
"36",624,11,1.12,1,0.98,0,0,624,1.12
"37",624,12,1.12,1,0.98,1,0,624,1.12
"38",624,13,1.22,1,0.98,2,0,624,1.22
"39",624,14,1.12,1,0.98,3,0,624,1.12
"40",624,15,1.22,1,0.98,4,0,624,1.22
"41",723,11,1.22,0,0.81,0,0,723,1.22
"42",723,12,1.34,0,0.81,1,0,723,1.34
"43",723,13,1.12,0,0.81,2,0,723,1.12
"44",723,14,1,0,0.81,3,0,723,1
"45",723,15,1.12,0,0.81,4,0,723,1.12
"46",918,11,1,0,1.21,0,1,918,1
"47",918,12,1,0,1.21,1,1,918,1
"48",918,13,1.22,0,1.21,2,1,918,1.22
"49",918,14,1.99,0,1.21,3,1,918,1.99
"50",918,15,1.22,0,1.21,4,1,918,1.22
"51",949,11,1.99,1,0.93,0,0,949,1.99
"52",949,12,1.55,1,0.93,1,0,949,1.55
"53",949,13,1.12,1,0.93,2,0,949,1.12
"54",949,14,1.45,1,0.93,3,0,949,1.45
"55",949,15,1.55,1,0.93,4,0,949,1.55
"56",978,11,1.22,1,1.59,0,1,978,1.22
"57",978,12,1.34,1,1.59,1,1,978,1.34
"58",978,13,2.12,1,1.59,2,1,978,2.12
"59",978,14,3.46,1,1.59,3,1,978,3.46
"60",978,15,3.32,1,1.59,4,1,978,3.32
"61",1105,11,1.34,1,1.38,0,1,1105,1.34
"62",1105,12,1.9,1,1.38,1,1,1105,1.9
"63",1105,13,1.99,1,1.38,2,1,1105,1.99
"64",1105,14,1.9,1,1.38,3,1,1105,1.9
"65",1105,15,2.12,1,1.38,4,1,1105,2.12
"66",1542,11,1.22,0,1.44,0,1,1542,1.22
"67",1542,12,1.22,0,1.44,1,1,1542,1.22
"68",1542,13,1.99,0,1.44,2,1,1542,1.99
"69",1542,14,1.79,0,1.44,3,1,1542,1.79
"70",1542,15,2.12,0,1.44,4,1,1542,2.12
"71",1552,11,1,0,1.04,0,0,1552,1
"72",1552,12,1.12,0,1.04,1,0,1552,1.12
"73",1552,13,2.23,0,1.04,2,0,1552,2.23
"74",1552,14,1.55,0,1.04,3,0,1552,1.55
"75",1552,15,1.55,0,1.04,4,0,1552,1.55
"76",1653,11,1.11,0,1.25,0,1,1653,1.11
"77",1653,12,1.11,0,1.25,1,1,1653,1.11
"78",1653,13,1.34,0,1.25,2,1,1653,1.34
"79",1653,14,1.55,0,1.25,3,1,1653,1.55
"80",1653,15,2.12,0,1.25,4,1,1653,2.12
